date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:15	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2021%20Nov%202018%2017:27:14%20GMT	https://rchintan21.000webhostapp.com/robots.txt		(from )
22:57:15	24557/24557	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Nov%202018%2017:32:20%20GMT	https://rchintan21.000webhostapp.com/	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/index.html	(from )
22:57:17	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2021%20Nov%202018%2017:32:23%20GMT	https://rchintan21.000webhostapp.com/xmlrpc.php	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/xmlrpc.php	(from https://rchintan21.000webhostapp.com/)
22:57:20	8047/8047	---MC-	200	added ('OK')	application/rss+xml	etag:%226634743b220f211f5778c4604f6d9558%22	https://rchintan21.000webhostapp.com/feed	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/feed	(from https://rchintan21.000webhostapp.com/)
22:57:21	25171/25171	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Nov%202018%2017:15:00%20GMT	https://rchintan21.000webhostapp.com/wp-content/plugins/gutenberg/build/block-library/style.css?ver=1542561300	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/plugins/gutenberg/build/block-library/style2d88.css	(from https://rchintan21.000webhostapp.com/)
22:57:23	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/font-awesome.min.css?ver=4.7.0	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/font-awesome.min1849.css	(from https://rchintan21.000webhostapp.com/)
22:57:23	108322/108322	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Nov%202018%2008:42:46%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/style.css?ver=1.3.8	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/styleedfb.css	(from https://rchintan21.000webhostapp.com/)
22:57:23	21750/21750	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/camera.min.css?ver=1.3.8	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/camera.minedfb.css	(from https://rchintan21.000webhostapp.com/)
22:57:24	55918/55918	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/animate.min.css?ver=3.5.1	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/animate.min9d52.css	(from https://rchintan21.000webhostapp.com/)
22:57:24	0/0	---M--	200	added ('OK')	text/css	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/framework/admin/kirki/assets/css/kirki-styles.css?ver=3.0.33	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/framework/admin/kirki/assets/css/kirki-styles792f.css	(from https://rchintan21.000webhostapp.com/)
22:57:25	23364/23364	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/js/min/particles.min.js?ver=1.3.8	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/js/min/particles.minedfb.js	(from https://rchintan21.000webhostapp.com/)
22:57:26	97184/97184	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Nov%202018%2016:15:55%20GMT	https://rchintan21.000webhostapp.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-includes/js/jquery/jqueryb8ff.js	(from https://rchintan21.000webhostapp.com/)
22:57:26	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Nov%202018%2016:15:55%20GMT	https://rchintan21.000webhostapp.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://rchintan21.000webhostapp.com/)
22:57:27	225926/225926	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/js/plugins.js?ver=1.3.8	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/js/pluginsedfb.js	(from https://rchintan21.000webhostapp.com/)
22:57:29	908/908	---M--	200	added ('OK')	text/xml	date:Wed,%2021%20Nov%202018%2017:32:34%20GMT	https://rchintan21.000webhostapp.com/xmlrpc.php?rsd	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/xmlrpc0db0.php	(from https://rchintan21.000webhostapp.com/)
22:57:29	1045/1045	---MCZ	200	added ('OK')	text/xml	date:Sun,%2018%20Nov%202018%2016:15:55%20GMT	https://rchintan21.000webhostapp.com/wp-includes/wlwmanifest.xml	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-includes/wlwmanifest.xml	(from https://rchintan21.000webhostapp.com/)
22:57:30	1046/1046	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Nov%202018%2016:28:36%20GMT	https://rchintan21.000webhostapp.com/wp-content/uploads/2018/11/cropped-Layer-2-e1542558361824-1-32x32.png	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/uploads/2018/11/cropped-Layer-2-e1542558361824-1-32x32.png	(from https://rchintan21.000webhostapp.com/)
22:57:30	18852/18852	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Nov%202018%2016:28:36%20GMT	https://rchintan21.000webhostapp.com/wp-content/uploads/2018/11/cropped-Layer-2-e1542558361824-1-192x192.png	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/uploads/2018/11/cropped-Layer-2-e1542558361824-1-192x192.png	(from https://rchintan21.000webhostapp.com/)
22:57:31	17490/17490	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Nov%202018%2016:28:36%20GMT	https://rchintan21.000webhostapp.com/wp-content/uploads/2018/11/cropped-Layer-2-e1542558361824-1-180x180.png	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/uploads/2018/11/cropped-Layer-2-e1542558361824-1-180x180.png	(from https://rchintan21.000webhostapp.com/)
22:57:31	74579/74579	---MCZ	200	added ('OK')	application/json	date:Wed,%2021%20Nov%202018%2017:27:30%20GMT	https://rchintan21.000webhostapp.com/wp-json/	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-json/index.html	(from https://rchintan21.000webhostapp.com/)
22:57:32	310859/310859	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Nov%202018%2017:17:36%20GMT	https://rchintan21.000webhostapp.com/wp-content/uploads/2018/11/Layer-2-1.png	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/uploads/2018/11/Layer-2-1.png	(from https://rchintan21.000webhostapp.com/)
22:57:36	22406/22406	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Nov%202018%2017:27:34%20GMT	https://rchintan21.000webhostapp.com/updates	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/updates.html	(from https://rchintan21.000webhostapp.com/)
22:57:38	30072/30072	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Nov%202018%2017:32:43%20GMT	https://rchintan21.000webhostapp.com/2018/11/43	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/2018/11/43.html	(from https://rchintan21.000webhostapp.com/)
22:57:42	29203/29203	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Nov%202018%2017:27:40%20GMT	https://rchintan21.000webhostapp.com/2018/11/fantastic-beasts-the-crimes-of-grindelwald	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/2018/11/fantastic-beasts-the-crimes-of-grindelwald.html	(from https://rchintan21.000webhostapp.com/)
22:57:44	23477/23477	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Nov%202018%2017:32:48%20GMT	https://rchintan21.000webhostapp.com/2018/11	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/2018/11.html	(from https://rchintan21.000webhostapp.com/)
22:57:46	22794/22794	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Nov%202018%2017:27:45%20GMT	https://rchintan21.000webhostapp.com/category/movies	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/category/movies.html	(from https://rchintan21.000webhostapp.com/)
22:57:49	19505/19505	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/js/functions.js?ver=1.3.8	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/js/functionsedfb.js	(from https://rchintan21.000webhostapp.com/)
22:57:49	22648/22648	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Nov%202018%2017:32:54%20GMT	https://rchintan21.000webhostapp.com/category/series	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/category/series.html	(from https://rchintan21.000webhostapp.com/)
22:57:50	1398/1398	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Nov%202018%2016:15:55%20GMT	https://rchintan21.000webhostapp.com/wp-includes/js/wp-embed.min.js?ver=4.9.8	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-includes/js/wp-embed.min5010.js	(from https://rchintan21.000webhostapp.com/)
22:57:51	12505/12505	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/framework/admin/kirki/modules/webfont-loader/vendor-typekit/webfontloader.js?ver=3.0.28	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/framework/admin/kirki/modules/webfont-loader/vendor-typekit/webfontloader8e5e.js	(from https://rchintan21.000webhostapp.com/)
22:57:52	132/132	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2021%20Nov%202018%2017:27:52%20GMT	https://cdn.rawgit.com/000webhost/logo/e9bd13f7/footer-powered-by-000webhost-white2.png	C:/Users/chint/OneDrive/Desktop/site/sid992r/cdn.rawgit.com/000webhost/logo/e9bd13f7/footer-powered-by-000webhost-white2.1c.delayed	(from https://rchintan21.000webhostapp.com/)
22:57:53	2046/2046	---M--	200	added ('OK')	image/png	etag:%220f5fd2ab2ec3d340d0a8e148adae48104735921b%22	https://raw.githubusercontent.com/000webhost/logo/e9bd13f7/footer-powered-by-000webhost-white2.png	C:/Users/chint/OneDrive/Desktop/site/sid992r/raw.githubusercontent.com/000webhost/logo/e9bd13f7/footer-powered-by-000webhost-white2.png	(from https://rchintan21.000webhostapp.com/)
22:57:54	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfont3e6e.eot	(from https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/font-awesome.min.css?ver=4.7.0)
22:57:55	760/760	---M--	200	added ('OK')	application/rss+xml	etag:%229155e2963ac5db9f532f4c583ec2d019%22	https://rchintan21.000webhostapp.com/comments/feed	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/comments/feed	(from https://rchintan21.000webhostapp.com/)
22:57:55	77160/77160	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfont3e6e.html	(from https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/font-awesome.min.css?ver=4.7.0)
22:57:56	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfont.eot?	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfontd41d.eot	(from https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/font-awesome.min.css?ver=4.7.0)
22:57:56	165548/165548	---M--	200	added ('OK')	application/font-sfnt	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/font-awesome.min.css?ver=4.7.0)
22:57:56	98024/98024	---M--	200	added ('OK')	application/font-woff	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfont3e6e.woff	(from https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/font-awesome.min.css?ver=4.7.0)
22:57:57	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/fonts/fontawesome-webfont3e6e.svg	(from https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/font-awesome.min.css?ver=4.7.0)
22:57:59	22239/22239	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Nov%202018%2017:33:04%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/img/blank.gif	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/img/blank.gif	(from https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/camera.min.css?ver=1.3.8)
22:58:00	9289/9289	---M--	200	added ('OK')	image/gif	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/img/camera-loader.gif	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/img/camera-loader.gif	(from https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/camera.min.css?ver=1.3.8)
22:58:00	24198/24198	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Nov%202018%2008:42:45%20GMT	https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/img/camera_skins.png	C:/Users/chint/OneDrive/Desktop/site/sid992r/rchintan21.000webhostapp.com/wp-content/themes/agama/assets/img/camera_skins.png	(from https://rchintan21.000webhostapp.com/wp-content/themes/agama/assets/css/camera.min.css?ver=1.3.8)
